Songtitle,Artist(s),uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Hero (feat. Christina Perri) - Deep Mix,"['Cash Cash', 'Christina Perri']",spotify:track:7os1J5P6JqIxKSxq71QuQC,0.398,0.873,4,-3.634,1,0.0523,0.033,3e-06,0.128,0.149,128.8
Seasons,"['Rival', 'Cadmium', 'Harley Bird']",spotify:track:3YFBT7K58eMzMSoVYGVsx1,0.54,0.676,6,-7.363,1,0.0395,0.15,0.0,0.101,0.479,144.885
Almost Back (with Phoebe Ryan),"['Kaskade', 'Phoebe Ryan', 'LöKii']",spotify:track:4Vpjh5VlV7rnPZGqVJUxrV,0.805,0.713,2,-3.476,1,0.0908,0.454,3.31e-05,0.145,0.256,119.024
Take It Over,['WAVES'],spotify:track:6fU7dTskysw43sbhQaugBO,0.615,0.867,5,-2.665,0,0.0456,0.0153,0.0,0.275,0.194,100.085
Over Now,['Post Malone'],spotify:track:09IOPhEh1OMe0HD9b36FJk,0.569,0.777,4,-4.041,0,0.0834,0.139,0.0,0.132,0.181,164.027
Stay,['Post Malone'],spotify:track:4H7WNRErSbONkM06blBoGc,0.507,0.48,5,-5.418,1,0.0266,0.449,0.0,0.147,0.35,86.046
Together We're Screwed,"['Robotaki', 'Nevve']",spotify:track:44er6i2sziqJkHAWXUwvhZ,0.345,0.718,3,-5.526,1,0.0715,0.0367,6.28e-05,0.133,0.5,87.986
Maybe I Do (feat. Futuristic & James Davidson),"['Huey Mack', 'Futuristic', 'James Davidson']",spotify:track:352lhyk1bIGE5ZI1kw4gmg,0.755,0.623,1,-8.979,0,0.0395,0.0417,0.000125,0.131,0.329,101.445
Save Myself (feat. Josie Nelson),"['Dash Berlin', 'Dbstf', 'Josie Nelson']",spotify:track:5nITWxTke6qHjXvmuLhpLw,0.568,0.766,8,-3.039,1,0.0302,0.276,0.0,0.164,0.472,112.045
Ready Yet (San Holo Remix),"['Sasha Sloan', 'San Holo']",spotify:track:5Oxv9pQuYROR2jpM3aSoir,0.692,0.579,0,-8.386,1,0.0739,0.592,7.78e-05,0.111,0.45,121.037
I Fall Apart,['Post Malone'],spotify:track:2mdxJLJHzFmiiYdTZ8JcyH,0.565,0.55,8,-5.357,0,0.0397,0.0782,0.0,0.196,0.302,143.927
Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla $ign']",spotify:track:7wrDRQgHlvDnimrRHfQZxt,0.748,0.546,8,-8.134,1,0.106,0.59,0.0,0.112,0.413,140.005
When I'm Gone,['Eminem'],spotify:track:2cgqvO5jXaLoAHLNCVT3Vz,0.515,0.74,10,-5.507,0,0.363,0.0493,0.0,0.258,0.765,75.922
Age of Empires (feat. KXNG Crooked),"['Chris Webby', 'KXNG Crooked']",spotify:track:0VoWfpqkQnt34tvkb1Czgv,0.67,0.936,8,-5.892,0,0.125,0.257,0.0,0.346,0.55,94.003
Sunrise,"['ARTY', 'April Bender']",spotify:track:7vLIj2GVAeYrohv8p0JjF0,0.428,0.695,0,-4.63,1,0.0437,0.0336,4.12e-06,0.117,0.214,128.111
Night Is Young,['YONAS'],spotify:track:77eFEwF0CDxOD5HPxDzOfI,0.783,0.751,6,-6.624,1,0.0282,0.00487,3.73e-05,0.0761,0.509,126.049
Naked - CADE Remix,"['James Arthur', 'CADE']",spotify:track:0w2CIOs32MeHgUOVgAsDt8,0.604,0.556,6,-7.845,1,0.0593,0.0971,0.0,0.0991,0.392,120.076
Narrow Waters (feat. Skiggy Rapz),"['The Cool Quest', 'Skiggy Rapz']",spotify:track:6TxlZU5Ht37j1Zt1n6fpgX,0.783,0.71,1,-5.314,1,0.199,0.0171,9.13e-06,0.0471,0.575,94.067
Hesitate,['The Cool Quest'],spotify:track:4iUDH8JvqtTlrExh61ZpuH,0.561,0.704,8,-4.671,1,0.238,0.016,0.0,0.0196,0.597,92.174
Scared to Be Lonely,"['Martin Garrix', 'Dua Lipa']",spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972
One More Weekend,"['Audien', 'MAX']",spotify:track:0dzKKW6FzIT7C38BdQBbgw,0.667,0.899,2,-2.144,1,0.0411,0.387,0.0,0.0712,0.389,110.005
Old School Love,"['NEIKED', 'Nirob Islam']",spotify:track:4PI5G1Z6UaUcwlGRW3r4c5,0.712,0.424,10,-8.388,1,0.0312,0.0325,7.54e-06,0.108,0.827,127.99
Bed Sheets,['Ruben Pol'],spotify:track:70epoD8PMwjbE8yo7syRjh,0.759,0.383,8,-10.206,1,0.0346,0.0557,1.85e-06,0.099,0.15,102.97
Better With You,['Michl'],spotify:track:1FjHxl8B28sXj7eVfxdST4,0.784,0.437,5,-7.868,1,0.0509,0.265,6.98e-05,0.126,0.47,90.003
Never Let You Go (feat. John Newman),"['Kygo', 'John Newman']",spotify:track:6sonAwZ8ruHZVzdAwDYsfk,0.735,0.747,10,-4.959,1,0.0837,0.0741,0.0,0.103,0.555,123.025
Sunrise (feat. Jason Walker),"['Kygo', 'Jason Walker']",spotify:track:4ODnJrz0C3AJ4DFv8YQhJ8,0.636,0.6,6,-6.964,1,0.0288,0.211,0.0,0.141,0.476,100.051
Riding Shotgun (feat. Bonnie McKee),"['Kygo', 'Oliver Nelson', 'Bonnie McKee']",spotify:track:52Lqdrj2yYAeFSTS2M24Si,0.817,0.854,6,-4.744,0,0.117,0.117,1.07e-05,0.0413,0.622,102.0
Stranger Things (feat. OneRepublic),"['Kygo', 'OneRepublic']",spotify:track:4sJqSKPc5fZ5OZ8JiVI44N,0.604,0.661,0,-5.914,1,0.0375,0.234,0.0,0.0951,0.506,107.016
With You (feat. Wrabel),"['Kygo', 'Wrabel']",spotify:track:7gleE2w0CsjsWCs184n522,0.618,0.805,0,-4.731,1,0.0463,0.424,0.00796,0.332,0.335,101.022
Kids in Love (feat. The Night Game),"['Kygo', 'The Night Game']",spotify:track:5nmHl233yo8XJvaNfdKAWU,0.499,0.673,0,-4.505,1,0.0348,0.399,1.21e-06,0.208,0.301,121.87
Permanent,"['Kygo', 'JHart']",spotify:track:2FrYyDemG5M15U4qFO0ezK,0.64,0.636,0,-6.718,1,0.0277,0.0123,0.0,0.0818,0.24,108.017
I See You (feat. Billy Raffoul),"['Kygo', 'Billy Raffoul']",spotify:track:7ylOCfpjsuxM6w7W7b3W91,0.68,0.513,4,-9.914,0,0.0365,0.483,7.05e-05,0.0975,0.272,106.953
Yung Luv,"['Andrelli', 'Hearts & Colors']",spotify:track:4Xx4oojaE3MlJKpgtilgp1,0.633,0.548,8,-8.018,1,0.0523,0.219,3.88e-05,0.0689,0.541,173.994
Waves - JordanXL Remix,"['Dean Lewis', 'JordanXL']",spotify:track:3idyB7eZlIhTxp1baHvjlW,0.703,0.721,11,-6.654,0,0.0337,0.0991,4.33e-06,0.0795,0.374,109.987
Caught Up (feat. Charlee),"['Lazy Weekends', 'Charlee']",spotify:track:7zolcuA2RVIATBjrAs0VRD,0.633,0.685,0,-5.238,1,0.0326,0.24,6.8e-06,0.116,0.376,149.992
Lost & Found (feat. Amilie),"['THEONLYLILHOMIE', 'Amilie']",spotify:track:7teJulfVid4MpX9JtB0hh6,0.6,0.835,0,-5.702,1,0.0614,0.53,0.0,0.0702,0.517,144.963
Be Somebody (Unplvgged),['CVBZ'],spotify:track:0WxggSsJda8Dkrz5eRzvHD,0.66,0.64,11,-6.039,1,0.0475,0.352,0.0,0.0772,0.567,99.857
Madrina,"['Maes', 'Booba']",spotify:track:6cKj3bzvVrOQtPfGhcKlRt,0.734,0.824,11,-5.201,0,0.0554,0.206,0.0507,0.361,0.673,122.997
Copines,['Aya Nakamura'],spotify:track:1Bhm5HNO1cq8olDbBmokyL,0.701,0.787,8,-3.941,0,0.0855,0.27,0.0,0.105,0.904,180.027
La dot,['Aya Nakamura'],spotify:track:3aRgAfrt6aQW8IimLq2aVG,0.448,0.513,0,-6.108,1,0.163,0.203,0.0,0.0947,0.751,82.451
Air Max,"[""Rim'K"", 'Ninho']",spotify:track:6qk9lEM6UIxNbAuI0PpOLu,0.82,0.591,1,-7.338,1,0.459,0.26,0.0,0.102,0.551,141.888
Ramenez la coupe à la maison,['Vegedream'],spotify:track:1m0UFnuTktOkksvjbF9z0m,0.808,0.661,0,-6.237,0,0.0395,0.0358,0.0,0.138,0.804,107.992
Back To The Beginning,"['Shwayze', 'Cisco Adler']",spotify:track:5he0vUdPTXQ9fm1rhdYrRH,0.656,0.659,7,-6.952,1,0.273,0.381,0.0,0.151,0.42,179.516
Action,['Sammy Adams'],spotify:track:68GToPSpR8CxZ14BlO0ljT,0.671,0.5,2,-6.403,1,0.398,0.374,0.0,0.0453,0.824,179.868
Lot to Learn - Tungevaag & Raaban Remix,"['Luke Christopher', 'Raaban']",spotify:track:3eo45jivnrwN8sqBQqOuoI,0.632,0.893,6,-3.498,1,0.157,0.103,0.0,0.326,0.71,93.183
Demons Freestyle,['Cam Meekins'],spotify:track:54ddV4LsHMZkbImL7z9680,0.734,0.559,5,-9.108,0,0.189,0.0191,0.0,0.079,0.628,80.053
Næsta Skref,['Daði Freyr'],spotify:track:28682naBqxrjAVjSIamCz0,0.56,0.127,8,-12.676,0,0.09,0.0342,1.92e-05,0.299,0.264,70.056
Geimvera,['GKR'],spotify:track:3ptzXWprxBPeedJ00cBqyk,0.71,0.409,10,-9.251,0,0.236,0.114,3.36e-05,0.113,0.441,151.912
California King,['Alexander Jarl'],spotify:track:5HKhaSEtroasFnMPAUsqBn,0.841,0.437,1,-12.66,1,0.203,0.668,3.57e-05,0.128,0.666,88.953
Helgarfrí (feat. Jón Jónsson),"['Joey Christ', 'Jón Jónsson']",spotify:track:6K4YqAePPp46MY94pzZXgt,0.69,0.541,7,-6.681,1,0.124,0.426,0.0,0.35,0.696,155.01
Afhverju,['Birnir'],spotify:track:0H7viQFF4UbrZYLwH373nL,0.798,0.747,2,-5.431,1,0.422,0.187,0.0,0.09,0.396,152.98
Fáviti,['Birnir'],spotify:track:5Q15D5lTanuwT2ou3tVE5m,0.853,0.668,7,-8.524,0,0.185,0.144,6.08e-05,0.546,0.336,135.999
Milljón (feat. Floni),"['Birnir', 'Floni']",spotify:track:6w5tU82UEkB1w8QUWmnUeN,0.722,0.297,8,-10.59,1,0.462,0.429,4.89e-06,0.129,0.592,111.998
Gleymdu því (feat. Bleache),"['Birnir', 'Bleache']",spotify:track:7zUu9bgCAtaWzs4UEKTqmW,0.787,0.705,11,-6.407,1,0.0505,0.307,1.09e-05,0.0664,0.872,142.024
RealBoyTing (feat. GDRN),"['Birnir', 'GDRN']",spotify:track:1GKs0UsSHSR0Y3V44FHjMz,0.696,0.476,0,-11.521,0,0.122,0.709,0.00107,0.218,0.351,109.984
Dauður (feat. JFDR & Arnar),"['Birnir', 'JFDR', 'Arnar']",spotify:track:1a0d2rqvR0ae6tLVa5PIjR,0.589,0.746,3,-8.147,0,0.0709,0.0118,0.000124,0.252,0.103,180.149
Party,['Floni'],spotify:track:7n1zPrqGyMqNIpzFb9y1wC,0.687,0.529,5,-9.137,0,0.165,0.0997,0.0,0.053,0.409,159.883
Frosin,['Gísli Pálmi'],spotify:track:4nkIcHAg2VrPuhlz2vXXmo,0.835,0.801,9,-6.475,1,0.258,0.0264,0.000553,0.122,0.824,154.007
Þúsundir (VROOM),['Gísli Pálmi'],spotify:track:264rcUPCdRZ9xdrw8aDasU,0.766,0.672,6,-6.727,0,0.0795,0.0172,0.000309,0.646,0.619,118.019
Krúsið,['Gísli Pálmi'],spotify:track:3erYiI90Y5ujE4Qv3gTSK7,0.941,0.65,2,-5.62,1,0.111,0.071,0.000141,0.144,0.165,120.014
Ísinn (BRRH),['Gísli Pálmi'],spotify:track:7LF4X8wvH3rFvMGnN7tCKZ,0.8,0.693,2,-6.414,1,0.0502,0.00455,9.04e-05,0.198,0.266,119.977
Fichu,['Django'],spotify:track:6xIDZPcKh7x070OUZkt7Fr,0.84,0.458,2,-12.212,1,0.314,0.606,0.0,0.0977,0.409,125.016
Discussion nocturne,"['Krisy', 'Cloé Mailly']",spotify:track:3bUItR2xfnqF9zJRcS5MSJ,0.737,0.404,9,-9.733,1,0.0774,0.377,0.0,0.223,0.874,59.53
Blessed,['Krisy'],spotify:track:07784lMO2T3ll7TZEVlLXV,0.703,0.651,1,-7.799,0,0.0383,0.0448,0.000513,0.106,0.206,115.029
Paradis d'amour,['Krisy'],spotify:track:4tsvRnVGBrMceZXwcJN8Tu,0.693,0.688,10,-7.727,0,0.264,0.0316,0.0,0.101,0.542,115.012
Erotiquement votre,"['Krisy', 'Instagram Followers']",spotify:track:0ZVml2WAyhlZ1iEpnFJZox,0.669,0.565,1,-10.751,1,0.247,0.839,0.0,0.113,0.564,122.167
Ils pensent,['Krisy'],spotify:track:3FOOHIvy6qFbYXSRlhzHla,0.706,0.631,2,-8.621,1,0.173,0.00311,2.06e-06,0.123,0.441,140.012
"Elle, me parle",['Krisy'],spotify:track:2QdYYrHaY3v4mpy93wUaFV,0.75,0.45,9,-12.48,1,0.186,0.382,2.72e-06,0.0691,0.42,117.027
La vérité sur terre,"['Krisy', 'Kool']",spotify:track:7nRkZ1J5NDxBcSQd8D3ZWM,0.759,0.44,6,-10.39,1,0.26,0.186,0.0,0.0988,0.0828,140.035
Jeune julio,['Krisy'],spotify:track:5frr0Au2MctP1Ghmy5nWza,0.881,0.456,9,-11.785,0,0.116,0.764,0.0,0.078,0.488,113.033
Viens dans mon 93,"['Dinos', 'Hornet La Frappe', 'Sofiane']",spotify:track:20b6XMR9nGmtzO8CJ89VIn,0.567,0.716,0,-4.859,1,0.198,0.573,0.0,0.214,0.419,125.343
OMG,"['Floni', 'Birnir', 'Joey Christ']",spotify:track:54aOgpcb6kLIIrpdy5Ea0d,0.719,0.737,6,-6.925,0,0.245,0.0899,0.0,0.294,0.852,156.997
Trappa,['Floni'],spotify:track:6S0Ukjsva2CIm8YwoOrJS1,0.785,0.545,0,-7.752,1,0.191,0.0085,0.0,0.128,0.556,141.96
Byłeś mój,"['Verba', 'Sylwia Przybysz']",spotify:track:5oianC661Y1HClJAckQvux,0.68,0.762,2,-9.756,0,0.0392,0.062,0.00233,0.0983,0.126,96.01
Pomimo,['Sylwia Przybysz'],spotify:track:7ykjJBfNGNG0dB4VpvIRJ8,0.579,0.758,3,-5.864,1,0.0409,0.0422,0.00124,0.137,0.367,81.982
Na pamięć,['Sylwia Przybysz'],spotify:track:7FRCnB6owhmrhDuEdrZDcf,0.833,0.682,7,-7.005,1,0.0559,0.0729,0.000667,0.0739,0.575,110.019
Czas,['Sylwia Przybysz'],spotify:track:6sOrQDu7i2wkGoPMYlwCkV,0.737,0.654,10,-7.913,0,0.0534,0.479,3.61e-06,0.0922,0.353,104.034
Moment,['Sylwia Przybysz'],spotify:track:0J60bwWzAuS8IxsRKoMzR9,0.733,0.874,11,-3.708,0,0.0523,0.0153,0.002,0.32,0.272,103.999
To dla Ciebie pragnę żyć,['Verba & Sylwia Przybysz'],spotify:track:2O5rUiuF5yTDfhePKGerGs,0.707,0.758,8,-5.393,1,0.12,0.254,0.0,0.111,0.255,93.97
Związane oczy mam,['Verba & Sylwia Przybysz'],spotify:track:0Gwbgpaww3FF3WWAPxHJVx,0.749,0.642,8,-5.527,1,0.048,0.256,0.0,0.131,0.148,94.014
"Nie powiem Ci, że Cię kocham",['Verba & Sylwia Przybysz'],spotify:track:5PHEhtE8PzQs2YUx0hwewU,0.778,0.619,11,-5.432,0,0.0552,0.33,0.0,0.22,0.146,93.991
Wierzyłam w nas,['Verba & Sylwia Przybysz'],spotify:track:5hKHL0JNgZhnfkBJDerdLL,0.732,0.643,10,-5.681,0,0.0677,0.35,0.0,0.0802,0.292,93.942
Kochana Przyjaciółko,['Verba & Sylwia Przybysz'],spotify:track:4QMSdCLNfwXhTWxjUrDeg8,0.809,0.687,0,-5.392,1,0.0473,0.196,0.0,0.14,0.271,93.958
Back To You,['Mackenzie Nicole'],spotify:track:5gafEicmA96emu1t95qpdc,0.82,0.538,0,-7.227,1,0.0372,0.0109,0.0,0.0708,0.613,106.971
Po tamtej stronie,['Arek Kłusowski'],spotify:track:4cUSaZj3S0ClrbJgtrjUQ5,0.66,0.862,5,-5.606,0,0.0277,0.00183,0.0137,0.0898,0.859,128.019
Perfect Rain,['Curtis Walsh'],spotify:track:1p0uoRr6vdSopHr8YibjEP,0.655,0.637,7,-6.492,1,0.0655,0.699,0.0,0.113,0.144,116.873
Ona tańczy,"['Doniu', 'Nowator']",spotify:track:4bBL5PqDNeEcgVC9WbzKGZ,0.715,0.849,6,-4.984,0,0.0494,0.109,0.0,0.079,0.835,95.994
Will You Be Mine - Radio Edit,"['Ian Rooth', 'Frenchy']",spotify:track:1N2kGjdMCG4hvHoEzYpKSM,0.773,0.873,1,-4.471,0,0.0319,0.371,0.0,0.146,0.834,134.997
So Close,['Natan Zale'],spotify:track:1Bg5ey8rrmefKwguhOhA2k,0.709,0.471,7,-10.274,1,0.0452,0.625,0.0,0.0898,0.23,87.974
Siedem żyć,['NaVi'],spotify:track:4js3AIB5xUu6xUudtg4E3b,0.668,0.865,11,-4.51,0,0.0292,0.185,2.83e-06,0.159,0.71,98.022
Kiedy Pytasz,"['Remo', 'Filip Lato', 'Eldo']",spotify:track:0qUrtDdtGal6UQWIDao9UX,0.637,0.637,10,-7.029,1,0.0842,0.136,0.0,0.322,0.511,145.88
Czekam na znak,['Maja Kleszcz'],spotify:track:24BTceG9XTfp5V0ucS5zeQ,0.678,0.659,9,-9.228,0,0.0778,0.0725,0.0,0.226,0.485,131.886
Możesz,['Young Stars Frugo Team'],spotify:track:5Q4D7RzAF2aP34SLyaf0tN,0.741,0.779,2,-5.65,1,0.0536,0.00613,1.63e-05,0.436,0.917,103.01
Na Szczycie,['Grubson'],spotify:track:7aQViYYpIkpJwyCHPysCo4,0.558,0.596,9,-8.865,1,0.419,0.101,0.0,0.0941,0.173,194.192
Summer - Radio Edit,"['Robert M', 'Ada & AR']",spotify:track:2Qfv44CWDruiVrXAoIjBrT,0.669,0.687,6,-8.222,0,0.0304,0.0288,0.0025,0.0853,0.389,119.942
To Dobre Jest,"['Remo', 'Jula']",spotify:track:4GQjGy9BqoA9vaQYOm9YZ0,0.511,0.586,4,-7.391,0,0.0413,0.188,0.000295,0.36,0.224,84.786
Kołysanka dla Nieznajomej,['Perfect'],spotify:track:7s9P1kbtbKai57Ylp5TWdj,0.786,0.353,8,-9.762,0,0.0312,0.339,0.0,0.127,0.646,99.739
Jasna Ciemna,['Dorota Osinska'],spotify:track:5Vgwik4xK9jIHl08LayQN9,0.705,0.737,7,-4.518,0,0.039,0.0933,1.11e-05,0.16,0.265,124.0
Lawina,['GOLEC UORKIESTRA'],spotify:track:1WQRu41NKdyI9iSCCJDxyN,0.651,0.719,2,-5.42,0,0.0437,0.0159,0.0,0.314,0.486,111.976
"Hej, Heja Hej",['Banda I Wanda'],spotify:track:3dtALrXkR9gXHSLJHJ7KsY,0.566,0.903,4,-7.925,1,0.0575,0.0134,4.29e-05,0.178,0.484,143.557
Wszystko Jedno,['Dominika Sozańska'],spotify:track:40YMEmt2pb6f8525v5phEV,0.72,0.794,1,-4.41,1,0.0973,0.0725,0.0,0.0521,0.482,139.972
1 Moment feat. Buka,"['K2', 'Buka']",spotify:track:6rp6vpDBJHE4gKucl8V1w2,0.549,0.666,11,-6.538,0,0.433,0.228,0.0,0.0926,0.61,82.743
Talizman,"['Kamil Bednarek', 'Matheo']",spotify:track:5Bkoumil7uM35dXcWs1xKl,0.679,0.91,11,-6.177,1,0.258,0.337,0.0,0.0848,0.124,93.974
Horyzonty,"[""Sound'n'Grace"", 'Mateusz Ziółko']",spotify:track:6jI4PTOLoZAzPQldvMNzEy,0.65,0.657,11,-7.736,0,0.0622,0.0294,0.0,0.0984,0.425,86.033
Do Stu,['Pablopavo i Ludziki'],spotify:track:5lRBQTvpyqSMGi97THo0w0,0.897,0.568,11,-8.472,0,0.359,0.282,8.69e-06,0.165,0.92,133.0
Là-haut,"[""L'Impératrice"", 'Lomepal']",spotify:track:56fFlTqv5fyEVZ8HxbrUqb,0.614,0.668,4,-9.035,0,0.172,0.294,0.00349,0.252,0.623,170.959
J'veux sortir avec un rappeur,['Alice et Moi'],spotify:track:7pN0F1KIniF4O1ts8WfSBG,0.625,0.709,1,-5.486,0,0.0661,0.0955,4.64e-06,0.121,0.579,151.958
Rockstar,['kenzie'],spotify:track:5WMpsHLlLcqxMTtaE3AcK6,0.654,0.726,7,-3.732,1,0.0659,0.00749,2.23e-06,0.0618,0.473,101.937
Paris in the Rain,['Lauv'],spotify:track:41CgzGD7xlgnJe14R4cqkL,0.426,0.408,3,-9.419,1,0.0524,0.771,7.88e-06,0.394,0.528,76.309
We Appreciate Power,"['Grimes', 'HANA']",spotify:track:0yi4EYrzv5yyend2YnstJv,0.534,0.899,2,-4.18,0,0.0509,0.00898,4.32e-05,0.4,0.432,108.033
Dare to Live,['Mountenz'],spotify:track:2wObVcHz7kfdcru7fAqFfE,0.726,0.658,2,-5.2,1,0.0467,0.553,0.0,0.149,0.588,105.044
Distance,['Brad Jennings'],spotify:track:5FggMkRNZCFy8qFyKNODeZ,0.765,0.502,5,-8.197,1,0.0442,0.682,0.000244,0.0808,0.41,91.995
Sunglasses,['Hopium'],spotify:track:3VQapKqQid5s7E4pRwvpln,0.482,0.614,11,-3.569,0,0.0406,0.0145,4.54e-06,0.343,0.24,94.421
I Want You,['Austin Ward'],spotify:track:6khqj8FS0A048ZS0Wfg229,0.559,0.59,8,-11.609,1,0.0395,0.017,0.092,0.115,0.62,170.008
Waltz,"['Austin Ward', 'Nikki Segal']",spotify:track:6MDhYpQmRxFRqLR3GCdsBk,0.468,0.266,8,-14.675,1,0.0628,0.842,4.99e-06,0.176,0.396,93.828
Bubblegum,['Austin Ward'],spotify:track:7hA1iiBPvnO43SgCedk4eb,0.393,0.451,4,-13.657,0,0.0397,0.161,0.0051,0.102,0.255,49.64
2 of Us,['Austin Ward'],spotify:track:3wI4rUjtXW8F995a0pwHs8,0.723,0.46,1,-12.128,0,0.0484,0.279,9.18e-06,0.0905,0.518,100.015
It Hurts Me,['Austin Ward'],spotify:track:0VxnE1xD1W7NDBVNbnYPgG,0.527,0.822,0,-10.944,1,0.0781,0.00641,0.297,0.152,0.349,85.01
When I Hurt You,['Austin Ward'],spotify:track:2VKwjz49T5hux7N6nbIrTk,0.619,0.542,4,-12.698,1,0.0502,0.0283,0.00244,0.368,0.519,109.994
I D L Y A,['Austin Ward'],spotify:track:6inE3ak2nfs0Hq1ZfRaa3N,0.659,0.491,7,-11.122,0,0.0288,0.00707,0.000561,0.149,0.475,146.058
Hoodie Music,['L.Teez'],spotify:track:0lgmdhLmTOLdfJvPBvlZun,0.653,0.729,10,-5.83,0,0.49,0.354,0.0,0.257,0.507,78.382
If We Have Each Other,['Alec Benjamin'],spotify:track:7pT6WSg4PCt4mr5ZFyUfsF,0.656,0.577,10,-5.566,0,0.0802,0.698,0.0,0.296,0.861,173.094
Water Fountain,['Alec Benjamin'],spotify:track:4IhKLu7Vk3j2TLmnFPl6To,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975
Annabelle's Homework,['Alec Benjamin'],spotify:track:0DYRjWiFJHvLjxRrywtltC,0.676,0.634,8,-5.377,1,0.0385,0.701,1.63e-06,0.223,0.33,86.004
Let Me Down Slowly,['Alec Benjamin'],spotify:track:2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073
Swim,['Alec Benjamin'],spotify:track:1rMSja8j1k8VRXXztemdLb,0.737,0.562,11,-6.117,0,0.0747,0.289,0.000363,0.306,0.532,160.051
Steve,['Alec Benjamin'],spotify:track:211LaT5hzPOKolVtgzwWnq,0.348,0.353,10,-9.012,1,0.0334,0.845,0.0,0.181,0.866,80.558
Outrunning Karma,['Alec Benjamin'],spotify:track:2W0AJEbIC2vdZTV2nVSAsg,0.416,0.649,11,-5.271,0,0.0385,0.655,2.82e-06,0.12,0.474,112.482
Death Of A Hero,['Alec Benjamin'],spotify:track:3gYK7eEFbp6KzmqYRMyQRm,0.653,0.62,11,-5.797,1,0.28,0.634,5.46e-06,0.512,0.584,179.8
1994,['Alec Benjamin'],spotify:track:5Ys68FZdQFcFw7IgkANVoM,0.772,0.613,8,-6.185,1,0.0692,0.281,3.52e-06,0.206,0.862,87.022
Love Actually,['Off Bloom'],spotify:track:1rkwEvRdpZirixNHJ8x61R,0.654,0.612,6,-6.475,0,0.328,0.33,0.0,0.299,0.468,175.927
All the PRBLMS †,['Andreas Wijk'],spotify:track:1B6GmQ3JmuoFrTHj33y1zI,0.593,0.611,0,-7.74,1,0.0391,0.373,0.0,0.0878,0.478,96.972
What NOW???,['Andreas Wijk'],spotify:track:4Wt3Bjym9CsFfJLN1ppZDS,0.578,0.426,1,-10.797,0,0.0557,0.846,0.0,0.474,0.448,137.851
MADONNA,['Andreas Wijk'],spotify:track:3Juf7npqk203nFPXrGvUkS,0.482,0.622,5,-7.2,0,0.0752,0.000213,1.04e-06,0.0945,0.219,171.664
LOWkey ↘︎,['Andreas Wijk'],spotify:track:7uhDvESFvNDSIwmBR9eYeH,0.454,0.481,5,-9.892,0,0.0971,0.0569,1.88e-06,0.207,0.381,118.343
DRAMA >>>,['Andreas Wijk'],spotify:track:1uL2VEo2n2wnmKr9Pn5Euh,0.634,0.62,8,-9.142,1,0.233,0.0322,0.0,0.107,0.614,109.716
NuMb ❄︎,['Andreas Wijk'],spotify:track:12DPSns313yHTuOeJbyJI3,0.496,0.597,1,-9.117,0,0.0716,0.145,0.0,0.318,0.455,142.849
New²this,['Andreas Wijk'],spotify:track:6AstEiHrSJytS8TN2IptoM,0.504,0.503,7,-7.255,1,0.0676,0.524,0.0,0.731,0.614,126.532
Come aLIVE「♥︎」,['Andreas Wijk'],spotify:track:0TVt8alSGfFhjvy8u3iMpK,0.55,0.624,8,-6.867,0,0.144,0.555,0.0,0.109,0.63,137.877
Blue Ribbon,"['Andreas Wijk', 'Jimi Tents']",spotify:track:3fw20SM6uXl6C6yEj8t4Vl,0.633,0.546,2,-9.906,1,0.15,0.144,0.0,0.108,0.555,119.961
HollywOOd⁂,['Andreas Wijk'],spotify:track:03d7kwyV94BHwJMaYzqWbI,0.58,0.706,10,-7.335,0,0.0503,0.0192,9.16e-05,0.111,0.405,140.027
FLAWS,['Andreas Wijk'],spotify:track:2DD3pYMcxl3GLekBoecf9R,0.574,0.705,6,-9.117,0,0.165,0.0543,0.0,0.403,0.533,112.034
Come THRU,['Andreas Wijk'],spotify:track:61vaR0ZNXFUtrrheQg2pQ4,0.788,0.622,0,-7.623,1,0.137,0.0581,0.0253,0.0924,0.731,106.058
LIAR,['Andreas Wijk'],spotify:track:5lOHA5km3lWUX4mTozfKrk,0.478,0.545,11,-10.814,1,0.0599,0.0118,3.91e-06,0.194,0.391,129.759
S01E14.DVD-RIP.Xvid,['Andreas Wijk'],spotify:track:71lpee4X9c6ee1iBk6fV9A,0.425,0.354,0,-10.661,1,0.0408,0.507,0.0,0.611,0.501,84.75
Circles (feat. Gonzalla),"['Loudan', 'Gonzalla']",spotify:track:1FLE9TtwDYRJy8JNpdVr7q,0.641,0.635,7,-6.447,1,0.0448,0.391,0.0,0.288,0.253,113.969
Drip Drop,['LeyeT'],spotify:track:5tKmkItoTVCKFEbkwqDA6B,0.737,0.677,0,-5.535,0,0.0758,0.0978,1.5e-05,0.166,0.33,100.058
Voices,['Glimmer of Blooms'],spotify:track:5cM4grnE9WBafJR1VgY7qB,0.704,0.467,4,-14.002,0,0.0937,0.788,0.515,0.113,0.129,106.004
