Songtitle,Artist(s),uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
YESTERDAY,['Block B'],spotify:track:0aOf8m2Y7eGsV17WsuH8Xj,0.63,0.868,8,-3.472,0,0.157,0.0813,0.0,0.0782,0.854,141.905
Location,['Khalid'],spotify:track:1WIfWj5skn5UUZTs4cEFBe,0.799,0.436,1,-9.975,0,0.379,0.283,0.000105,0.0968,0.311,80.028
BODY,['MINO'],spotify:track:6OT42LFV2jg3cNG0oHeONn,0.754,0.803,9,-3.233,0,0.0797,0.0326,0.0,0.225,0.36,140.016
Passionfruit,['Drake'],spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98
Fake Love,['Drake'],spotify:track:343YBumqHu19cGoGARUTsd,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007
Zero,['Chris Brown'],spotify:track:3wrP2GVxWH8VpHPOsKhYgz,0.731,0.818,1,-4.564,0,0.0638,0.0517,0.0,0.0743,0.812,120.993
All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],"['Jay Park', 'Hoody', 'Loco']",spotify:track:6jLsYKGOBRBRvdowIzuyUf,0.4,0.724,8,-6.064,1,0.253,0.375,0.0,0.0927,0.43,96.782
La La Latch,['Pentatonix'],spotify:track:6fOqEAXCwboCO4BdzbZG1K,0.694,0.512,6,-8.719,0,0.0451,0.0332,1.27e-06,0.152,0.394,121.997
Drowning (feat. Kodak Black),"['A Boogie Wit da Hoodie', 'Kodak Black']",spotify:track:3LnOF5n1GOs01siYZXzS3p,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014
"Baby, I Love Your Way","['Big Mountain', 'Tom Lord-Alge']",spotify:track:1Rvl8qsKJurfFTyWLBI9ib,0.651,0.747,1,-7.269,0,0.0699,0.0528,0.0,0.207,0.776,147.518
LOSER,['BIGBANG'],spotify:track:5kCz0W7rPge3IRWseLF5Fv,0.648,0.681,0,-4.251,0,0.0937,0.404,0.0,0.329,0.488,89.947
FXXK IT,['BIGBANG'],spotify:track:0YVsrgp4OOUhFuYMAVQazV,0.72,0.746,0,-3.143,0,0.107,0.152,0.0,0.276,0.587,90.026
Selfish,['PnB Rock'],spotify:track:2xbI8Vmyv3TkpTdywpPyNw,0.638,0.6,1,-5.84,0,0.0438,0.114,0.0,0.187,0.0399,101.981
Mask Off,['Future'],spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062
Westside,['The Kooks'],spotify:track:5BtyHl1eRqip2PkHhFYzHG,0.767,0.663,9,-4.988,0,0.0333,0.252,2.41e-05,0.106,0.821,112.017
Love Me - Original,['Yiruma'],spotify:track:0Fi9tYRYSsMPzNVYdgHY7Q,0.413,0.256,5,-21.65,1,0.0602,0.992,0.928,0.103,0.262,76.787
May Be - Original,['Yiruma'],spotify:track:28VwmnD29YNEMh6OwI2uLH,0.455,0.121,1,-22.339,1,0.0511,0.992,0.908,0.0916,0.12,108.791
Kiss The Rain - Original,['Yiruma'],spotify:track:31qNACH7nd93EmGfMD3BZh,0.544,0.0508,8,-22.612,1,0.0427,0.99,0.898,0.123,0.166,132.0
